id,WinTeam,cwinrate1,cwinrate2,cwinrate3,cwinrate4,cwinrate5,ckda1,ckda2,ckda3,ckda4,ckda5,cdf1,cdf2,cdf3,cdf4,cdf5,cwinrate6,cwinrate7,cwinrate8,cwinrate9,cwinrate10,ckda6,ckda7,ckda8,ckda9,ckda10,cdf6,cdf7,cdf8,cdf9,cdf10,cwinratedif,ckdadif,cdfdif
1085441160,0,0.5,0.526315789,0.481481481,0.666666667,0.561403509,2.845588235,1.983108108,0.877470356,1.03030303,1.073849879,183,143,-315,-31,-352,0.526315789,0.454545455,0.75,0.7,0.526315789,2.094202899,2.260869565,1.317073171,2.12755102,2.550458716,164,140,-15,123,229,-0.044261917,-0.507967152,-202.6
1085441162,1,0.333333333,0.545454545,0.422222222,0.580246914,0.333333333,1.976190476,2.585526316,1.099571734,1.441307578,0.839285714,20,165,-374,-79,-37,0.5,0.5,1.0,0.391304348,0.333333333,3.828125,2.1,3.108695652,1.69047619,0.428571429,149,24,74,56,-75,-0.102009467,-0.64279729,-106.6
1085441175,1,0.4375,0.495049505,0.25,0.464285714,0.575,1.295652174,1.164357683,1.838235294,1.762637363,1.360759494,-47,-533,23,239,-110,0.574468085,0.518134715,0.333333333,1.0,0.6,1.579399142,1.447663551,0.922018349,0.826086957,1.774390244,74,-168,-126,-31,180,-0.160820183,0.174416753,-71.4
1085441176,0,0.728395062,0.62962963,0.518518519,0.555555556,0.333333333,3.580284553,2.460486322,1.774456522,2.241424802,0.669082126,2047,1264,101,562,-344,0.475,0.552631579,0.25,0.310344828,0.666666667,2.076923077,1.692598187,1.931034483,0.875984252,0.683333333,405,255,25,-317,-49,0.102157805,0.693172198,662.2
1085441185,0,0.650847458,0.466666667,0.315151515,0.608695652,0.45,2.40802005,1.508050089,1.885245902,1.598360656,1.231301939,3623,18,893,48,-194,0.681818182,0.51754386,0.444444444,0.833333333,0.375,2.776785714,2.07801152,2.527272727,2.109311741,1.442307692,429,4616,113,301,-6,-0.072155706,-0.460542152,-213.0
1085441187,1,0.25,0.181818182,0.454545455,0.408163265,0.5,1.428571429,0.994680851,1.969230769,0.939252336,1.071748879,-6,-95,61,-480,-191,0.506666667,0.9,0.637931034,0.4,0.724137931,1.558159722,2.463235294,1.595108696,1.516806723,1.784883721,67,131,105,4,98,-0.274841746,-0.502941978,-223.2
1085441191,1,0.605263158,0.526315789,0.538461538,0.25,0.636363636,2.888495575,2.327338129,2.092286501,1.285714286,1.725806452,1569,230,430,-18,28,0.617647059,0.619047619,0.631578947,1.0,0.363636364,3.449029126,2.32278481,2.71559633,2.277777778,2.467741935,803,260,265,28,120,-0.135101173,-0.582657807,152.6
1085441193,0,0.533333333,0.592592593,1.0,0.464285714,0.37037037,2.254716981,1.648780488,2.0,1.364349776,1.278026906,160,61,10,-121,-99,0.517241379,0.422535211,0.0,0.375,0.428571429,2.049450549,1.37745098,0.428571429,0.8825,1.025641026,500,-125,-15,-494,-74,0.243446798,0.556452033,43.8
1085441202,0,0.458333333,0.463878327,0.573002755,0.333333333,0.380952381,1.650406504,1.178622328,3.395709178,1.356060606,1.78164557,111,-1353,6362,-19,89,0.444444444,0.611111111,0.5,0.454545455,0.451612903,1.257383966,1.526315789,1.538461538,0.844827586,1.589779006,-230,7,1,-114,65,-0.050442757,0.52113526,1092.2
1085441210,0,0.537735849,0.459459459,0.517295597,0.460992908,0.534883721,1.252542373,1.942675159,1.579968048,1.429199648,1.765432099,-438,278,1802,-161,129,0.547169811,0.594594595,0.413793103,0.416666667,0.333333333,1.362997257,1.532894737,1.494456763,1.441176471,0.817567568,-799,15,-5,-10,-101,0.040962005,0.264144907,502.0
1085441211,0,0.53960396,0.676470588,0.450980392,0.554054054,0.454545455,2.662921348,1.321167883,1.680823681,1.672373541,1.267676768,3519,-98,281,443,-46,0.533333333,0.444444444,0.464788732,0.543209877,0.633333333,2.641618497,1.641414141,1.693356048,1.606591865,0.968120805,395,28,227,152,-317,0.011308946,0.010772373,722.8
